name,direction,predicates,horizon_min,source_family,complexity,support,distinct_days,mean_fwd_return_pct,median_fwd_return_pct,win_rate,median_mfe_pct,median_mae_pct,mes_gross_expectancy_usd,mes_net_expectancy_usd,mes_median_mfe_pts,mes_median_mae_pts,wf_folds,wf_profitable_folds,wf_stability,wf_mean_return,wf_mean_win_rate,composite_score,neighbor_robust,day_concentration_ok,regime_concentration_ok,tod_bucket_count,max_day_contribution_pct,max_regime_contribution_pct,penalties,skip_expectancy_reduction,skip_chop_increase,skip_bad_entry_rate
D_zdiv_nope_high_SHORT_60m,SHORT,"[{'feature': 'zdiv_nope_state', 'op': 'eq', 'value': 'strong_pos'}]",60,divergence,1,223,13,0.1727,0.1862,0.6547,0.8117,0.1057,56.89,51.89,53.49,6.97,9,7,0.7778,0.216,0.7202,94.4135,True,True,False,5,0.277,0.9418,"{'drawdown': 3.4833, 'low_support': 0.5133, 'regime_concentration': 12.8158}",,,
L_atm_straddle_pct_high_LONG_60m,LONG,"[{'feature': 'atm_straddle_pct', 'op': 'gt', 'value': 0.8}]",60,level,1,640,11,0.2309,0.2255,0.6641,0.6597,0.2653,76.08,71.08,43.47,17.48,9,5,0.5556,0.2492,0.5964,76.6464,True,True,False,6,0.347,0.7505,"{'drawdown': 8.7425, 'regime_concentration': 5.6436}",,,
D_zdiv_net_prem_high_SHORT_60m,SHORT,"[{'feature': 'zdiv_net_prem_state', 'op': 'eq', 'value': 'strong_pos'}]",60,divergence,1,244,13,0.0113,-0.051,0.4467,0.7554,0.2409,3.71,-1.29,49.78,15.87,9,6,0.6667,0.0043,0.4507,59.0708,True,True,True,6,0.3068,0.5814,"{'drawdown': 7.9362, 'low_support': 0.3733}",,,
D_zdiv_vex_low_LONG_60m,LONG,"[{'feature': 'zdiv_vex_state', 'op': 'eq', 'value': 'strong_neg'}]",60,divergence,1,2020,13,0.0783,0.0137,0.5248,0.3224,0.2144,25.8,20.8,21.25,14.13,10,7,0.7,0.1472,0.6349,55.3543,True,True,True,7,0.2447,0.5846,{'drawdown': 7.0654},,,
L_qqq_expected_move_pct_high_LONG_30m,LONG,"[{'feature': 'qqq_expected_move_pct', 'op': 'gt', 'value': 0.8}]",30,level,1,3005,11,0.1282,0.0912,0.617,0.3839,0.1707,42.23,37.23,25.3,11.25,9,6,0.6667,0.1417,0.621,45.693,True,True,False,6,0.3203,0.6828,"{'drawdown': 5.6231, 'regime_concentration': 3.1058}",,,
I_atm_avg_iv_q5_Q0_qqq_nope_gt_SHORT_60m,SHORT,"[{'feature': 'atm_avg_iv_q5', 'op': 'eq', 'value': 0}, {'feature': 'qqq_nope', 'op': 'gt', 'value': -36.52092468399469}]",60,interaction,2,8294,11,0.128,0.1142,0.6595,0.3189,0.1187,42.16,37.16,21.02,7.82,8,7,0.875,0.1946,0.6792,43.2885,True,True,False,7,0.2778,0.9065,"{'drawdown': 3.9104, 'regime_concentration': 11.4953}",,,
SKIP_midday_chop_15m,SKIP,"[{'feature': 'pct_of_day', 'op': 'between', 'value': 0.25, 'value_hi': 0.55}, {'feature': 'efficiency_ratio', 'op': 'lt', 'value': 0.25}]",15,skip,2,7203,14,0.1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,0.8,0.11,0.0,20.1351,True,True,False,2,0.1132,0.8761,{'regime_concentration': 10.3523},0.1618,0.6377,0.3507
SKIP_weak_gate_15m,SKIP,"[{'feature': 'structural_gate', 'op': 'lt', 'value': 0.2}]",15,skip,1,972,14,0.1146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7,0.7,0.1065,0.0,19.3391,True,True,False,7,0.1818,0.8971,{'regime_concentration': 11.142},0.052,0.8899,0.357
SKIP_low_efficiency_15m,SKIP,"[{'feature': 'efficiency_ratio', 'op': 'lt', 'value': 0.15}]",15,skip,1,14975,14,0.1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,0.6,0.0296,0.0,14.1516,True,True,False,7,0.099,0.9126,{'regime_concentration': 11.7228},0.0246,0.7847,0.3132
